anbefalt_term:en;anbefalt_term:nn;anbefalt_term:nb;tillatt_term:nb;tillatt_term:nn;tillatt_term:en;frarådet_term:nb;frarådet_term:nn;frarådet_term:en;definisjon:nb;definisjon:nn;definisjon:en;definisjon:forhold_til_kilde;definisjon:kilde;definisjon:kilde.1;definisjon_for_allmennheten:nb;definisjon_for_allmennheten:nn;definisjon_for_allmennheten:en;definisjon_for_allmennheten:forhold_til_kilde;definisjon_for_allmennheten:kilde;definisjon_for_allmennheten:kilde.1;definisjon_for_spesialister:nb;definisjon_for_spesialister:nn;definisjon_for_spesialister:en;definisjon_for_spesialister:forhold_til_kilde;definisjon_for_spesialister:kilde;definisjon_for_spesialister:kilde.1;merknad:nb;merknad:nn;merknad:en;eksempel:nb;eksempel:nn;eksempel:en;fagområde:nb;fagområde:nn;fagområde:en;verdiområde:uri;verdiområde:tekst;kontaktpunkt:epost;kontaktpunkt:telefon;gyldig_fom;gyldig_tom;se_også;versjon
anbefalt term_engelsk;anbefalt term _norsk nynorsk;anbefalt term_norsk bokmål;tillatt term_norsk bokmål;tillatt term_norsk nynorsk;tillatt term_engelsk;frarådet term_norsk bokmål;frarådet term_norsk nynorsk;frarådet term_engelsk;definisjon_norsk bokmål;definisjon_norsk nynorsk;definisjon_engelsk;egendefinert;;;definisjon for allmennheten_norsk bokmål;definisjon for allmennheten_norsk nynorsk;definisjon for allmennheten_engelsk;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister_norsk bokmål;definisjon for spesialister_norsk nynorsk;definisjon_for_spesialister_engelsk;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad_norsk bokmål;merknad_norsk nynorsk;merknad_engelsk;eksempel_norsk bokmål;eksempel_norsk nynorsk;eksempel_engelsk;1;1;1;http://lenketilverdiomraade.no;Tittel verdiområde;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 2_en;anbefalt term 2_nn;anbefalt term 2_nb;tillatt term 2_nb;tillatt term 2_nn;tillatt term 2_en;frarådet term 2_nb;frarådet term 2_nn;frarådet term 2_en;definisjon 2_nb;definisjon 2_nn;definisjon 2_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 2_nb;definisjon for allmennheten 2_nn;definisjon for allmennheten 2_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 2_nb;definisjon for spesialister 2_nn;definisjon_for_spesialister2_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad2_nb;merknad2_nn;merknad2_en;eksempel2_nb;eksempel2_nn;eksempel2_en;5;5;5;http://lenketilverdiomraade2.no;Tittel verdiområde 2;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 3_en;anbefalt term 3_nn;anbefalt term 3_nb;tillatt term 3_nb;tillatt term 3_nn;tillatt term 3_en;frarådet term 3_nb;frarådet term 3_nn;frarådet term 3_en;definisjon 3_nb;definisjon 3_nn;definisjon 3_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 3_nb;definisjon for allmennheten 3_nn;definisjon for allmennheten 3_en;egendefinert;;;definisjon for spesialister 3_nb;definisjon for spesialister 3_nn;definisjon_for_spesialister3_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad3_nb;merknad3_nn;merknad3_en;eksempel3_nb;eksempel3_nn;eksempel3_en;20;20;20;http://lenketilverdiomraade3.no;Tittel verdiområde 3;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 4_en;anbefalt term 4_nn;anbefalt term 4_nb;tillatt term 4_nb;tillatt term 4_nn;tillatt term 4_en;frarådet term 4_nb;frarådet term 4_nn;frarådet term 4_en;definisjon 4_nb;definisjon 4_nn;definisjon 4_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 4_nb;definisjon for allmennheten 4_nn;definisjon for allmennheten 4_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 4_nb;definisjon for spesialister 4_nn;definisjon_for_spesialister4_en;egendefinert;;;merknad4_nb;merknad4_nn;merknad4_en;eksempel4_nb;eksempel4_nn;eksempel4_en;10;10;10;http://lenketilverdiomraade4.no;Tittel verdiområde 4;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 5_en;anbefalt term 5_nn;anbefalt term 5_nb;tillatt term 5_nb;tillatt term 5_nn;tillatt term 5_en;frarådet term 5_nb;frarådet term 5_nn;frarådet term 5_en;definisjon 5_nb;definisjon 5_nn;definisjon 5_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 5_nb;definisjon for allmennheten 5_nn;definisjon for allmennheten 5_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 5_nb;definisjon for spesialister 5_nn;definisjon_for_spesialister5_en;egendefinert;;;merknad5_nb;merknad5_nn;merknad5_en;eksempel5_nb;eksempel5_nn;eksempel5_en;49;49;49;http://lenketilverdiomraade5.no;Tittel verdiområde 5;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 6_en;anbefalt term 6_nn;anbefalt term 6_nb;tillatt term 6_nb;tillatt term 6_nn;tillatt term 6_en;frarådet term 6_nb;frarådet term 6_nn;frarådet term 6_en;definisjon 6_nb;definisjon 6_nn;definisjon 6_en;egendefinert;;;definisjon for allmennheten 6_nb;definisjon for allmennheten 6_nn;definisjon for allmennheten 6_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 6_nb;definisjon for spesialister 6_nn;definisjon_for_spesialister6_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad6_nb;merknad6_nn;merknad6_en;eksempel6_nb;eksempel6_nn;eksempel6_en;3;3;3;http://lenketilverdiomraade6.no;Tittel verdiområde 6;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 7_en;anbefalt term 7_nn;anbefalt term 7_nb;tillatt term 7_nb;tillatt term 7_nn;tillatt term 7_en;frarådet term 7_nb;frarådet term 7_nn;frarådet term 7_en;definisjon 7_nb;definisjon 7_nn;definisjon 7_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 7_nb;definisjon for allmennheten 7_nn;definisjon for allmennheten 7_en;egendefinert;;;definisjon for spesialister 7_nb;definisjon for spesialister 7_nn;definisjon_for_spesialister7_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad7_nb;merknad7_nn;merknad7_en;eksempel7_nb;eksempel7_nn;eksempel7_en;50;50;50;http://lenketilverdiomraade7.no;Tittel verdiområde 7;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 8_en;anbefalt term 8_nn;anbefalt term 8_nb;tillatt term 8_nb;tillatt term 8_nn;tillatt term 8_en;frarådet term 8_nb;frarådet term 8_nn;frarådet term 8_en;definisjon 8_nb;definisjon 8_nn;definisjon 8_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 8_nb;definisjon for allmennheten 8_nn;definisjon for allmennheten 8_en;egendefinert;;;definisjon for spesialister 8_nb;definisjon for spesialister 8_nn;definisjon_for_spesialister8_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad8_nb;merknad8_nn;merknad8_en;eksempel8_nb;eksempel8_nn;eksempel8_en;9;9;9;http://lenketilverdiomraade8.no;Tittel verdiområde 8;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 9_en;anbefalt term 9_nn;anbefalt term 9_nb;tillatt term 9_nb;tillatt term 9_nn;tillatt term 9_en;frarådet term 9_nb;frarådet term 9_nn;frarådet term 9_en;definisjon 9_nb;definisjon 9_nn;definisjon 9_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 9_nb;definisjon for allmennheten 9_nn;definisjon for allmennheten 9_en;egendefinert;;;definisjon for spesialister 9_nb;definisjon for spesialister 9_nn;definisjon_for_spesialister9_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad9_nb;merknad9_nn;merknad9_en;eksempel9_nb;eksempel9_nn;eksempel9_en;5;5;5;http://lenketilverdiomraade9.no;Tittel verdiområde 9;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 10_en;anbefalt term 10_nn;anbefalt term 10_nb;tillatt term 10_nb;tillatt term 10_nn;tillatt term 10_en;frarådet term 10_nb;frarådet term 10_nn;frarådet term 10_en;definisjon 10_nb;definisjon 10_nn;definisjon 10_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 10_nb;definisjon for allmennheten 10_nn;definisjon for allmennheten 10_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 10_nb;definisjon for spesialister 10_nn;definisjon_for_spesialister10_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad10_nb;merknad10_nn;merknad10_en;eksempel10_nb;eksempel10_nn;eksempel10_en;10;10;10;http://lenketilverdiomraade10.no;Tittel verdiområde 10;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
